FECHA,HORA,temperatura,humedad,presion,direccionviento,kmviento,NOMBRE
11072026,15,.1,96,996.4,290,39,BASE CARLIN
11072026,18,-.7,94,996.7,290,37,BASE CARLIN
11072026,21,-2.3,73,998.7,250,33,BASE CARLIN
11072026,0,.5,83,991.2,230,41,BASE ESPERA
11072026,3,.4,85,988.9,270,59,BASE ESPERA
11072026,6,.7,83,987.4,270,61,BASE ESPERA
11072026,9,.7,77,989.2,270,50,BASE ESPERA
11072026,12,.0,78,989.3,270,50,BASE ESPERA
11072026,15,-.9,85,992.0,250,46,BASE ESPERA
11072026,18,-1.3,85,992.4,250,35,BASE ESPERA
11072026,21,-3.1,86,993.6,270,37,BASE ESPERA
11072026,0,-2.0,61,985.7,290,31,BASE MARAMB
11072026,1,-1.5,63,986.4,290,20,BASE MARAMB
11072026,2,-1.6,60,985.9,320,31,BASE MARAMB
11072026,3,-.6,53,986.0,320,44,BASE MARAMB
11072026,4,-1.4,61,985.7,320,46,BASE MARAMB
11072026,5,-.8,63,985.7,320,46,BASE MARAMB
11072026,6,-.7,68,985.6,320,50,BASE MARAMB
11072026,7,-.5,65,985.0,320,52,BASE MARAMB
11072026,8,-.7,65,985.7,320,39,BASE MARAMB
11072026,9,-1.0,66,986.0,300,35,BASE MARAMB
11072026,10,-1.0,60,986.2,270,24,BASE MARAMB
11072026,12,-2.0,57,988.0,230,22,BASE MARAMB
11072026,13,-2.6,66,988.5,230,19,BASE MARAMB
11072026,14,-2.7,64,989.1,230,15,BASE MARAMB
11072026,15,-3.4,66,989.3,290,13,BASE MARAMB
11072026,16,-3.5,66,989.6,320,7,BASE MARAMB
11072026,17,-4.4,63,989.7,280,15,BASE MARAMB
11072026,18,-4.7,58,990.1,180,17,BASE MARAMB
11072026,19,-4.2,48,990.8,210,20,BASE MARAMB
11072026,21,-7.2,64,992.3,230,41,BASE MARAMB
11072026,22,-8.4,66,993.8,180,33,BASE MARAMB
11072026,23,-10.0,66,994.8,180,15,BASE MARAMB
11072026,0,-1.6,88,999.1,340,13,BASE ORCADA
11072026,3,.0,88,999.9,320,17,BASE ORCADA
11072026,6,.7,84,1000.7,340,15,BASE ORCADA
11072026,9,.6,86,1001.1,340,24,BASE ORCADA
11072026,12,.6,86,1001.0,340,22,BASE ORCADA
11072026,15,.4,92,1000.3,340,24,BASE ORCADA
11072026,18,.4,92,999.9,320,24,BASE ORCADA
11072026,21,.4,92,999.8,320,19,BASE ORCADA
11072026,0,-1.8,82,974.1,320,39,BASE SAN MA
11072026,3,-5.6,95,979.2,290,43,BASE SAN MA
11072026,6,-6.2,94,983.2,290,44,BASE SAN MA
11072026,9,-6.7,66,986.6,290,31,BASE SAN MA
11072026,12,-7.9,82,989.1,290,31,BASE SAN MA
11072026,15,-8.1,76,992.1,290,28,BASE SAN MA
11072026,18,-8.3,81,993.3,340,11,BASE SAN MA
11072026,21,-10.2,86,996.7,290,26,BASE SAN MA
11072026,9,16.6,97,,360,15,BERNARDO DE
11072026,15,18.0,97,,360,4,BERNARDO DE
11072026,21,16.5,99,,180,9,BERNARDO DE
11072026,9,6.8,100,1020.2,180,6,BOLIVAR AER
11072026,10,7.2,97,1020.5,180,6,BOLIVAR AER
11072026,11,9.0,94,1021.3,180,6,BOLIVAR AER
11072026,12,9.7,86,1021.2,180,9,BOLIVAR AER
11072026,13,10.1,81,1021.0,230,15,BOLIVAR AER
11072026,14,10.3,84,1020.4,230,9,BOLIVAR AER
11072026,15,10.5,88,1020.2,230,6,BOLIVAR AER
11072026,16,11.0,88,1020.1,230,6,BOLIVAR AER
11072026,17,11.4,90,1020.6,230,9,BOLIVAR AER
11072026,18,10.8,94,1021.1,230,6,BOLIVAR AER
11072026,19,9.4,95,1021.5,230,4,BOLIVAR AER
11072026,20,8.3,96,1021.9,230,4,BOLIVAR AER
11072026,21,7.0,99,1022.6,0,0,BOLIVAR AER
11072026,0,11.8,91,1016.0,140,9,BUENOS AIRE
11072026,1,11.8,91,1016.6,180,4,BUENOS AIRE
11072026,2,11.2,92,1016.6,180,4,BUENOS AIRE
11072026,3,11.2,92,1015.9,0,0,BUENOS AIRE
11072026,4,9.4,92,1015.7,180,4,BUENOS AIRE
11072026,5,8.8,92,1015.6,160,6,BUENOS AIRE
11072026,6,9.4,95,1016.4,200,11,BUENOS AIRE
11072026,7,9.4,95,1017.1,200,4,BUENOS AIRE
11072026,8,9.6,95,1018.0,200,4,BUENOS AIRE
11072026,9,10.0,92,1018.3,200,4,BUENOS AIRE
11072026,10,10.6,90,1018.4,200,6,BUENOS AIRE
11072026,11,11.2,86,1018.8,250,6,BUENOS AIRE
11072026,12,12.7,82,1018.5,230,9,BUENOS AIRE
11072026,13,13.0,75,1017.8,230,11,BUENOS AIRE
11072026,14,12.4,77,1017.4,230,9,BUENOS AIRE
11072026,15,12.2,78,1017.5,230,11,BUENOS AIRE
11072026,16,12.0,79,1017.8,230,11,BUENOS AIRE
11072026,17,11.8,80,1018.2,230,9,BUENOS AIRE
11072026,18,11.6,81,1018.4,230,7,BUENOS AIRE
11072026,19,11.1,85,1019.3,230,7,BUENOS AIRE
11072026,20,10.4,91,1019.8,230,6,BUENOS AIRE
11072026,21,10.4,91,1019.7,230,4,BUENOS AIRE
11072026,22,10.7,90,1020.1,140,2,BUENOS AIRE
11072026,23,10.5,90,1020.7,180,6,BUENOS AIRE
11072026,9,9.1,97,1018.8,230,6,CAMPO DE MA
11072026,10,9.4,99,1019.2,200,9,CAMPO DE MA
11072026,11,10.0,95,1019.5,250,6,CAMPO DE MA
11072026,12,10.9,92,1019.2,230,13,CAMPO DE MA
11072026,13,11.6,87,1018.7,230,17,CAMPO DE MA
11072026,14,12.3,83,1018.1,230,13,CAMPO DE MA
11072026,15,10.9,85,1018.2,230,15,CAMPO DE MA
11072026,16,11.0,84,1018.3,230,15,CAMPO DE MA
11072026,17,10.6,86,1018.7,230,15,CAMPO DE MA
11072026,18,10.6,86,1019.1,230,13,CAMPO DE MA
11072026,19,10.4,85,1019.9,250,13,CAMPO DE MA
11072026,20,10.1,86,1020.4,230,13,CAMPO DE MA
11072026,21,9.4,96,1020.2,230,9,CAMPO DE MA
11072026,0,14.0,68,1014.3,50,6,CATAMARCA A
11072026,1,13.8,70,1013.9,50,6,CATAMARCA A
11072026,2,13.8,72,1014.1,50,6,CATAMARCA A
11072026,3,13.8,70,1014.7,50,6,CATAMARCA A
11072026,4,13.0,76,1015.3,180,9,CATAMARCA A
11072026,5,12.6,73,1015.9,230,6,CATAMARCA A
11072026,6,10.4,85,1016.1,360,6,CATAMARCA A
11072026,7,9.4,85,1017.1,40,6,CATAMARCA A
11072026,8,6.6,92,1018.4,360,13,CATAMARCA A
11072026,9,6.6,88,1019.9,20,6,CATAMARCA A
11072026,10,12.2,75,1020.6,50,7,CATAMARCA A
11072026,11,16.2,59,1021.2,180,17,CATAMARCA A
11072026,12,17.2,52,1020.7,230,13,CATAMARCA A
11072026,13,18.8,49,1020.0,140,13,CATAMARCA A
11072026,14,20.2,48,1018.2,230,22,CATAMARCA A
11072026,15,21.2,42,1017.5,230,24,CATAMARCA A
11072026,16,21.8,43,1017.2,230,19,CATAMARCA A
11072026,17,20.2,48,1017.4,230,9,CATAMARCA A
11072026,18,19.6,52,1017.7,270,7,CATAMARCA A
11072026,19,18.2,62,1018.1,0,0,CATAMARCA A
11072026,20,17.2,60,1018.9,50,6,CATAMARCA A
11072026,21,16.4,67,1019.9,0,0,CATAMARCA A
11072026,22,15.6,66,1019.6,10,4,CATAMARCA A
11072026,23,15.6,68,1019.5,320,4,CATAMARCA A
11072026,6,10.2,85,1015.2,200,9,CERES AERO
11072026,7,10.3,90,1015.9,210,9,CERES AERO
11072026,8,9.8,90,1016.8,200,11,CERES AERO
11072026,9,9.7,90,1018.5,200,17,CERES AERO
11072026,10,9.9,97,1019.7,180,19,CERES AERO
11072026,11,13.6,75,1020.5,180,19,CERES AERO
11072026,12,13.5,75,1020.7,190,22,CERES AERO
11072026,13,11.8,78,1021.0,170,22,CERES AERO
11072026,14,13.8,66,1020.4,180,22,CERES AERO
11072026,15,12.9,68,1020.3,180,22,CERES AERO
11072026,16,12.2,70,1020.4,180,22,CERES AERO
11072026,17,11.5,73,1020.6,180,20,CERES AERO
11072026,18,11.2,71,1020.9,170,19,CERES AERO
11072026,19,10.0,77,1021.2,150,13,CERES AERO
11072026,20,9.9,79,1021.9,160,9,CERES AERO
11072026,21,9.8,82,1022.6,170,17,CERES AERO
11072026,9,9.2,85,1020.7,0,0,CHAMICAL AE
11072026,10,12.8,71,1020.7,0,0,CHAMICAL AE
11072026,11,13.6,68,1020.2,0,0,CHAMICAL AE
11072026,12,15.6,62,1019.1,0,0,CHAMICAL AE
11072026,13,18.0,56,1018.2,0,0,CHAMICAL AE
11072026,14,21.2,46,1018.6,0,0,CHAMICAL AE
11072026,15,19.2,45,1019.6,180,7,CHAMICAL AE
11072026,16,22.6,43,1016.4,140,9,CHAMICAL AE
11072026,17,21.0,40,1015.8,140,9,CHAMICAL AE
11072026,18,20.4,40,1016.9,0,0,CHAMICAL AE
11072026,19,18.0,47,1017.6,0,0,CHAMICAL AE
11072026,20,16.0,52,1017.9,0,0,CHAMICAL AE
11072026,21,12.8,55,1019.4,0,0,CHAMICAL AE
11072026,6,.0,92,1023.8,0,0,CHAPELCO AE
11072026,7,-.4,92,1024.0,20,7,CHAPELCO AE
11072026,8,-.2,92,1024.2,50,9,CHAPELCO AE
11072026,9,-.2,92,1025.1,40,9,CHAPELCO AE
11072026,10,.2,92,1025.6,50,7,CHAPELCO AE
11072026,11,.4,96,1025.3,0,0,CHAPELCO AE
11072026,12,1.2,97,1024.7,0,0,CHAPELCO AE
11072026,13,2.2,90,1023.8,0,0,CHAPELCO AE
11072026,14,2.8,90,1022.6,20,7,CHAPELCO AE
11072026,15,2.8,90,1022.0,70,15,CHAPELCO AE
11072026,16,2.6,90,1022.2,70,11,CHAPELCO AE
11072026,17,2.8,90,1022.1,0,0,CHAPELCO AE
11072026,18,3.2,91,1022.4,0,0,CHAPELCO AE
11072026,19,2.2,93,1022.4,30,9,CHAPELCO AE
11072026,20,2.0,97,1022.8,30,9,CHAPELCO AE
11072026,21,2.0,97,1023.2,40,9,CHAPELCO AE
11072026,9,7.6,70,1020.8,270,4,CHEPES
11072026,15,15.8,46,,230,9,CHEPES
11072026,21,7.8,79,1022.4,230,9,CHEPES
11072026,0,2.6,93,1023.8,320,7,COMODORO RI
11072026,1,.8,92,1023.7,250,6,COMODORO RI
11072026,2,1.0,92,1023.3,270,4,COMODORO RI
11072026,3,1.0,92,1022.9,230,6,COMODORO RI
11072026,4,1.1,97,1022.7,200,4,COMODORO RI
11072026,5,2.2,95,1022.2,250,4,COMODORO RI
11072026,6,2.4,95,1022.1,290,4,COMODORO RI
11072026,7,3.1,91,1022.0,210,4,COMODORO RI
11072026,8,3.9,89,1021.8,990,2,COMODORO RI
11072026,9,3.5,91,1021.5,120,4,COMODORO RI
11072026,10,6.1,85,1021.6,300,7,COMODORO RI
11072026,11,7.4,79,1021.3,990,7,COMODORO RI
11072026,12,8.4,72,1021.2,300,17,COMODORO RI
11072026,13,7.7,70,1020.8,310,24,COMODORO RI
11072026,14,8.3,68,1020.0,320,13,COMODORO RI
11072026,15,9.9,60,1019.1,300,15,COMODORO RI
