Fecha;Velocidad del viento;Direccion del viento;Humedad;Maxima rafaga de viento;PM10;PM2.5;Precipitacion;Presion;Radiacion Solar;Temperatura Ambiente
01-jul-23 03:25:00;0,74000001;140,6199951;97,26000214;1,269999981;50,29000092;14,53999996;0;757,3599854;0;12,09000015
01-jul-23 03:30:00;0,670000017;125,4800034;97,18000031;0,980000019;50,31000137;14,52999973;0;757,3099976;0;12,11999989
01-jul-23 03:35:00;0,74000001;121,5599976;97,09999847;1,080000043;50,29000092;16,39999962;0;757,289978;0;12,15999985
01-jul-23 03:40:00;0,579999983;113,7600021;97,04000092;1,179999948;50,31000137;16,70000076;0;757,2700195;0;12,18999958
01-jul-23 03:45:00;0,49000001;135,4400024;96,90000153;1,080000043;50,31000137;16,68000031;0;757,25;0;12,21000004
01-jul-23 03:50:00;0,449999988;82,37000275;96,80000305;1,370000005;50,29999924;16,69000053;0;757,2199707;0;12,21000004
01-jul-23 03:55:00;0,730000019;104,1600037;96,77999878;1,370000005;50,31000137;16,70000076;0;757,2399902;0;12,21000004
01-jul-23 04:00:00;0,360000014;104,5199966;96,69999695;1,179999948;50,31000137;16,70000076;0;757,3200073;0;12,22999954
01-jul-23 04:05:00;0,119999997;62,41999817;96,58000183;0,589999974;50,29999924;16,70000076;0;757,3400269;0;12,26000023
01-jul-23 04:10:00;0,039999999;60,90000153;96,37999725;0,389999986;50,29999924;16,72999954;0;757,3599854;0,02;12,27000046
01-jul-23 04:15:00;0,280000001;248,2799988;96,27999878;0,879999995;50,29999924;16,70999908;0;757,3599854;0,01;12,22000027
01-jul-23 04:20:00;0,119999997;109,1800003;96,22000122;0,779999971;44,90000153;16,68000031;0;757,3599854;0;12,21000004
01-jul-23 04:25:00;0,180000007;76,37999725;96,12000275;0,589999974;37,09999847;16,70999908;0;757,3400269;0;12,21000004
01-jul-23 04:30:00;0,360000014;80,27999878;96;0,980000019;37,11000061;16,71999931;0;757,3300171;0;12,19999981
01-jul-23 04:35:00;0,090000004;48,47999954;95,90000153;0,689999998;37,09000015;13,40999985;0;757,3200073;0;12,18999958
01-jul-23 04:40:00;0,479999989;106,4300003;95,72000122;1,370000005;37,09000015;12,86999989;0;757,2999878;0;12,21000004
01-jul-23 04:45:00;0,07;25,15999985;95,54000092;0,49000001;37,11000061;12,85000038;0;757,3200073;0;12,21000004
01-jul-23 04:50:00;0,430000007;129,8999939;95,41999817;0,980000019;37,09000015;12,85999966;0;757,3300171;0;12,21000004
01-jul-23 04:55:00;0,600000024;134,5200043;95,22000122;0,779999971;37,09999847;12,86999989;0;757,3200073;0;12,23999977
01-jul-23 05:00:00;0,889999986;133,8999939;95,05999756;1,370000005;37,11000061;12,86999989;0;757,3599854;0;12,26000023
01-jul-23 05:05:00;0,800000012;127,5400009;94,83999634;1,75999999;37,09000015;12,88000011;0;757,3900146;0;12,30000019
01-jul-23 05:10:00;0,730000019;93,33999634;94,59999847;1,269999981;37,09999847;12,89000034;0;757,3900146;0,02;12,35000038
01-jul-23 05:15:00;0,600000024;46;94,33999634;1,080000043;37,11000061;12,86999989;0;757,4099731;0,01;12,36999989
01-jul-23 05:20:00;0,889999986;62,02000046;94,16000366;1,570000052;35,72999954;12,85999966;0;757,4500122;0;12,36999989
01-jul-23 05:25:00;0,769999981;135,7100067;93,90000153;1,75999999;33,68999863;12,86999989;0;757,4699707;0;12,39999962
01-jul-23 05:30:00;0,730000019;177,9799957;93,58000183;1,470000029;33,70999908;12,88000011;0;757,4500122;0;12,44999981
01-jul-23 05:35:00;0,430000007;134,4700012;93,30000305;1,269999981;33,70999908;16,61000061;0;757,4299927;0;12,47000027
01-jul-23 05:40:00;0,639999986;198,5099945;92,98000336;1,75999999;33,70000076;17,19000053;0;757,460022;0;12,48999977
01-jul-23 05:45:00;0,879999995;272,4100037;92,76000214;1,860000014;33,70999908;17,17000008;0;757,4699707;0;12,48999977
